experiment,domain,vector_method,pair_label,condition,gate_pass_rate,cosine_deletion_rate,mean_b_anchor,mean_a_anchor,low_gate_warning
exp2,sacred,mean,zho→spa,B_target,0.000000,nan,0.233853,0.216415,low_gate
exp2,sacred,mean,zho→spa,C_english,0.000000,nan,0.233853,0.208540,low_gate
exp2,sacred,mean,zho→spa,D_random,0.000000,nan,0.233853,0.230991,low_gate
exp2,sacred,mean,spa→arb,A_source,0.000000,nan,0.378047,0.375262,low_gate
exp2,sacred,mean,spa→arb,B_target,0.000000,nan,0.378047,0.373495,low_gate
exp2,sacred,mean,spa→arb,C_english,0.000000,nan,0.378047,0.375065,low_gate
exp2,sacred,mean,spa→arb,D_random,0.000000,nan,0.378047,0.376914,low_gate
exp2,sacred,mean,spa→zho,A_source,0.000000,nan,0.343106,0.335380,low_gate
exp2,sacred,mean,spa→zho,B_target,0.000000,nan,0.343106,0.367597,low_gate
exp2,sacred,mean,spa→zho,C_english,0.000000,nan,0.343106,0.354150,low_gate
exp2,sacred,mean,spa→zho,D_random,0.000000,nan,0.343106,0.337943,low_gate
exp2,sacred,pca,arb→zho,A_source,0.000000,nan,0.340721,0.337410,low_gate
exp2,sacred,pca,arb→zho,B_target,0.000000,nan,0.340721,0.346079,low_gate
exp2,sacred,pca,arb→zho,C_english,0.000000,nan,0.340721,0.349580,low_gate
exp2,sacred,pca,arb→zho,D_random,0.000000,nan,0.340721,0.343670,low_gate
exp2,sacred,pca,arb→spa,A_source,0.000000,nan,0.234635,0.224313,low_gate
exp2,sacred,pca,arb→spa,B_target,0.000000,nan,0.234635,0.232976,low_gate
exp2,sacred,pca,arb→spa,C_english,0.000000,nan,0.234635,0.235609,low_gate
exp2,sacred,pca,arb→spa,D_random,0.000000,nan,0.234635,0.233051,low_gate
exp2,sacred,pca,zho→arb,A_source,0.000000,nan,0.368620,0.372900,low_gate
exp2,sacred,pca,zho→arb,B_target,0.000000,nan,0.368620,0.358325,low_gate
exp2,sacred,pca,zho→arb,C_english,0.000000,nan,0.368620,0.370148,low_gate
exp2,sacred,pca,zho→arb,D_random,0.000000,nan,0.368620,0.366458,low_gate
exp2,sacred,pca,zho→spa,A_source,0.000000,nan,0.233853,0.234619,low_gate
exp2,sacred,pca,zho→spa,B_target,0.000000,nan,0.233853,0.233410,low_gate
exp2,sacred,pca,zho→spa,C_english,0.000000,nan,0.233853,0.232235,low_gate
exp2,sacred,pca,zho→spa,D_random,0.000000,nan,0.233853,0.233479,low_gate
exp2,sacred,pca,spa→arb,A_source,0.000000,nan,0.378047,0.377030,low_gate
exp2,sacred,pca,spa→arb,B_target,0.000000,nan,0.378047,0.378001,low_gate
exp2,sacred,pca,spa→arb,C_english,0.000000,nan,0.378047,0.378814,low_gate
exp2,sacred,pca,spa→arb,D_random,0.000000,nan,0.378047,0.377573,low_gate
exp2,sacred,pca,spa→zho,A_source,0.000000,nan,0.343106,0.344690,low_gate
exp2,sacred,pca,spa→zho,B_target,0.000000,nan,0.343106,0.344737,low_gate
exp2,sacred,pca,spa→zho,C_english,0.000000,nan,0.343106,0.345269,low_gate
exp2,sacred,pca,spa→zho,D_random,0.000000,nan,0.343106,0.339990,low_gate
exp4,kinship,mean,arb→eng,vector_arb_Arab,0.055556,1.000000,0.412101,0.395617,low_gate
exp4,kinship,mean,eng→eng,vector_arb_Arab,0.000000,nan,0.422803,0.422741,low_gate
